Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,ELECTRICAL SYSTEMS,Construction,In-Progress,6/4/2015,6/2/2016,,1141565,1049017,"$604,720.00 ",DSF: 0000793643
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,ELECTRICAL SYSTEMS,"CM, F&E",In-Progress,6/4/2015,6/2/2016,,219340,19054,"$19,054.00 ",DSF: 0000793643
9,X002,BRONX CNTR FOR SCIENCE & MATH,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/3/2015,DOES,,DOES,25000,$0.00 ,DSF: 0000793644
9,X004,P.S. 4 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,2/9/2015,2/9/2015,2/9/2015,16635,172,$172.00 ,DSF: 0000793675
9,X004,P.S. 4 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/9/2015,6/10/2015,4/21/2015,66540,690,$690.00 ,DSF: 0000793675
9,X004,P.S. 4 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,9/2/2015,5/28/2016,,1247625,1194683,"$940,276.00 ",DSF: 0000793675
9,X004,P.S. 4 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,9/2/2015,5/28/2016,,77630,33823,"$33,465.00 ",DSF: 0000793675
9,X022,I.S. 22 - BRONX,SCA CIP,FIRE ALARM,Scope,Complete,7/16/2013,10/15/2013,11/22/2013,23805,30758,"$30,758.00 ",DSF: 0000771219
9,X022,I.S. 22 - BRONX,SCA CIP,FIRE ALARM,Design,Complete,12/3/2013,6/6/2014,5/13/2014,95220,170357,"$149,315.00 ",DSF: 0000771219
9,X022,I.S. 22 - BRONX,SCA CIP,FIRE ALARM,Construction,Complete,8/4/2014,8/3/2015,9/19/2015,1785375,1727120,"$1,579,351.00 ",DSF: 0000771219
9,X022,I.S. 22 - BRONX,SCA CIP,FIRE ALARM,"CM, F&E",Complete,8/4/2014,8/3/2015,9/19/2015,111090,164387,"$160,651.00 ",DSF: 0000771219
9,X022,I.S. 22 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,1/28/2015,1/28/2015,1/28/2015,29520,513,$513.00 ,DSF: 0000817119
9,X022,I.S. 22 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,1/28/2015,5/28/2015,5/12/2015,83640,2053,"$2,053.00 ",DSF: 0000817119
9,X022,I.S. 22 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,11/10/2015,8/5/2016,,1126680,1040573,"$5,673.00 ",DSF: 0000817119
9,X022,I.S. 22 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,11/10/2015,8/5/2016,,216480,8328,"$8,328.00 ",DSF: 0000817119
9,X022,I.S. 323 - BRONX,DOE - Skilled Trades,CTF-ROOM CONVERSION,Scope,Complete,12/10/2014,1/8/2015,1/8/2015,DOES,DOES,$0.00 ,DSF: 0000821666
9,X022,I.S. 323 - BRONX,DOE - Skilled Trades,CTF-ROOM CONVERSION,Design,Complete,1/12/2015,3/11/2015,3/11/2015,DOES,DOES,$0.00 ,DSF: 0000821666
9,X022,I.S. 323 - BRONX,DOE - Skilled Trades,CTF-ROOM CONVERSION,Construction,In-Progress,5/26/2015,DOES,,DOES,142497,"$142,497.00 ",DSF: 0000821666
9,X022,I.S. 22 - BRONX,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,8/11/2015,DOES,,DOES,128073,"$128,073.00 ",DSF: 0000817128
9,X028,P.S. 28 - BRONX,SCA CIP,FIRE ALARM,Scope,Complete,7/16/2013,10/15/2013,11/22/2013,28170,26441,"$26,441.00 ",DSF: 0000748409
9,X028,P.S. 28 - BRONX,SCA CIP,FIRE ALARM,Design,Complete,12/3/2013,6/6/2014,5/6/2014,79815,95342,"$71,880.00 ",DSF: 0000748409
9,X028,P.S. 28 - BRONX,SCA CIP,FIRE ALARM,Construction,In-Progress,10/9/2015,10/7/2016,,1075155,986597,"$1,306.00 ",DSF: 0000748409
9,X028,P.S. 28 - BRONX,SCA CIP,FIRE ALARM,"CM, F&E",In-Progress,10/9/2015,10/7/2016,,206580,19298,"$19,298.00 ",DSF: 0000748409
9,X028,P.S. 28 - BRONX,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Scope,Complete,10/24/2014,1/28/2015,3/3/2015,27000,26408,"$26,093.00 ",DSF: 0000800308
9,X028,P.S. 28 - BRONX,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Design,Complete,3/3/2015,7/16/2015,6/1/2015,76499,81581,"$65,060.00 ",DSF: 0000800308
9,X028,P.S. 28 - BRONX,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Construction,In-Progress,7/20/2015,3/15/2016,,1030490,939066,"$327,509.00 ",DSF: 0000800308
9,X028,P.S. 28 - BRONX,SCA CIP,TCU REMOVAL AND PLAYGROUND REDEVELOPMENT,"CM, F&E",In-Progress,7/20/2015,3/15/2016,,197998,48011,"$47,591.00 ",DSF: 0000800308
9,X028,P.S. 28 - BRONX,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,10/28/2014,3/11/2015,3/11/2015,DOEL,80329,"$80,329.00 ",DSF:
9,X028,P.S. 28 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,12/16/2015,DOES,,DOES,180906,$456.00 ,DSF: 0000817236
9,X035,P.S. 35 - BRONX,SCA CIP,EXT MASONRY/FLOOD ELIMINATION,Scope,Complete,9/18/2013,2/6/2014,11/29/2013,37486,48030,"$48,030.00 ","DSF: 0000771439, 0000771443"
9,X035,P.S. 35 - BRONX,SCA CIP,EXT MASONRY/FLOOD ELIMINATION,Design,Complete,1/27/2014,6/26/2014,7/30/2014,149940,194333,"$193,372.00 ","DSF: 0000771439, 0000771443"
9,X035,P.S. 35 - BRONX,SCA CIP,EXT MASONRY/FLOOD ELIMINATION,Construction,In-Progress,10/14/2014,2/5/2016,,2811376,2599166,"$1,858,039.00 ","DSF: 0000771439, 0000771443"
9,X035,P.S. 35 - BRONX,SCA CIP,EXT MASONRY/FLOOD ELIMINATION,"CM, F&E",In-Progress,10/14/2014,2/5/2016,,174930,339385,"$338,623.00 ","DSF: 0000771439, 0000771443"
9,X035,P.S. 35 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE BOYS & GIRLS BASEM,Construction,In-Progress,5/22/2015,DOES,,DOES,102661,"$97,601.00 ",DSF: 0000794168
9,X042,P.S. 42 - BRONX,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776287
9,X053,P.S. 53 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,26977,$0.00 ,DSF: 0000777178
9,X053,P.S. 53 - BRONX,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,6/30/2015,8/12/2015,9/9/2015,300000,297000,"$297,000.00 ",DSF: 0000800971
9,X055,P.S. 55 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,2/2/2015,2/2/2015,2/2/2015,18300,235,$235.00 ,DSF: 0000794496
9,X055,P.S. 55 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/2/2015,6/2/2015,4/1/2015,73200,940,$940.00 ,DSF: 0000794496
9,X055,P.S. 55 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,9/2/2015,5/28/2016,,1372500,1263803,"$327,753.00 ",DSF: 0000794496
9,X055,P.S. 55 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",In-Progress,9/2/2015,5/28/2016,,85400,29435,"$29,137.00 ",DSF: 0000794496
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,Scope,Complete,5/18/2015,11/19/2015,10/23/2015,183266,18580,"$8,613.00 ","DSF: 0000839643, 0000839644, 0000839645, 0000839646"
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,Design,In-Progress,12/8/2015,7/29/2016,,733066,733066,"$34,449.00 ","DSF: 0000839643, 0000839644, 0000839645, 0000839646"
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,Construction,PNS,PNS,PNS,PNS,13744977,13744977,"$1,092.00 ","DSF: 0000839643, 0000839644, 0000839645, 0000839646"
9,X055,P.S. 55 - BRONX,SCA CIP,MASONRY/WINDOWS/ROOFS/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,855243,855243,"$5,573.00 ","DSF: 0000839643, 0000839644, 0000839645, 0000839646"
9,X055,P.S. 55 - BRONX,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,7/14/2015,DOES,,DOES,169320,$933.00 ,DSF: 0000817683
9,X058,P.S. 58 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/17/2014,9/17/2014,8/22/2014,4089,7579,"$7,579.00 ",DSF: 0000799655
9,X058,P.S. 58 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/22/2014,12/24/2014,12/10/2014,11586,26202,"$20,202.00 ",DSF: 0000799655
9,X058,P.S. 58 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,4/6/2015,12/31/2015,11/6/2015,156064,151145,"$10,901.00 ",DSF: 0000799655
9,X058,P.S. 58 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,4/6/2015,12/31/2015,11/6/2015,29986,12574,"$12,574.00 ",DSF: 0000799655
9,X058,P.S. 58 - BRONX,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,10/15/2014,DOES,,DOES,175944,"$163,926.00 ",DSF: 0000817736
9,X063,P.S. 63 - BRONX,DOE - Skilled Trades,TOILETS - STUDENTS,Construction,In-Progress,10/15/2014,DOES,,DOES,148921,"$148,921.00 ",DSF: 0000817833
9,X064,P.S. 64 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,3/14/2014,3/14/2014,3/14/2014,26519,5496,"$5,496.00 ",DSF: 0000794657
9,X064,P.S. 64 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,3/14/2014,7/15/2014,7/9/2014,75137,22838,"$22,838.00 ",DSF: 0000794657
9,X064,P.S. 64 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,11/24/2014,8/20/2015,7/23/2015,1012145,991234,"$917,158.00 ",DSF: 0000794657
9,X064,P.S. 64 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,11/24/2014,8/20/2015,7/23/2015,194473,88954,"$88,954.00 ",DSF: 0000794657
9,X064,P.S. 64 - BRONX,DOE - Skilled Trades,PLANYC OIL CONVERSION PROJECT,Construction,In-Progress,4/5/2013,DOES,,DOES,60619,"$51,673.00 ",DSF: 0000776136
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,Scope,Complete,5/15/2014,9/30/2014,9/24/2014,100370,164192,"$108,620.00 ","DSF: 0000794783, 0000817970, 0000821923"
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,Design,Complete,4/17/2015,9/17/2015,9/25/2015,368585,203163,"$197,224.00 ","DSF: 0000794783, 0000817970, 0000821923"
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,Construction,PNS,PNS,PNS,PNS,6489218,6489218,"$169,360.00 ","DSF: 0000794783, 0000817970, 0000821923"
9,X070,P.S. 70 - BRONX,SCA CIP,EXT MASONRY/ROOFS/PARAPETS,"CM, F&E",PNS,PNS,PNS,PNS,543581,543581,"$23,105.00 ","DSF: 0000794783, 0000817970, 0000821923"
9,X070,P.S. 70 - BRONX,SCA CIP RESOA,FY14 RESO A LIBRARY UPGRADE,Scope,Complete,3/6/2014,7/7/2014,6/11/2014,0,15210,"$12,679.00 ",DSF: 0000798856
9,X070,P.S. 70 - BRONX,SCA CIP RESOA,FY14 RESO A LIBRARY UPGRADE,Design,Complete,7/15/2015,12/1/2015,12/29/2015,18000,31298,"$21,099.00 ",DSF: 0000798856
9,X070,P.S. 70 - BRONX,SCA CIP RESOA,FY14 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,264000,447164,"$25,166.00 ",DSF: 0000798856
9,X070,P.S. 70 - BRONX,SCA CIP RESOA,FY14 RESO A LIBRARY UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,18000,30488,"$15,355.00 ",DSF: 0000798856
9,X070,P.S. 70 - BRONX,DOE- RESOA,FY12 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,100000,100000,$0.00 ,DSF: 0000731674
9,X073,P.S. 73 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/18/2014,9/18/2014,8/19/2014,4512,6226,"$6,226.00 ",DSF: 0000799657
9,X073,P.S. 73 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/19/2014,12/19/2014,12/10/2014,12784,21172,"$16,029.00 ",DSF: 0000799657
9,X073,P.S. 73 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,4/6/2015,12/31/2015,11/6/2015,172208,176681,"$4,712.00 ",DSF: 0000799657
9,X073,P.S. 73 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,4/6/2015,12/31/2015,11/6/2015,33088,9643,"$9,643.00 ",DSF: 0000799657
9,X073,P.S. 73,SCA CIP,WATER PENETRATION/EXT MASONRY/PARAPETS,Scope,Complete,8/21/2008,3/9/2010,4/27/2011,89985,220674,"$180,636.00 ","DSF: 0000622598, 0000709411, 0000727828"
9,X073,P.S. 73,SCA CIP,WATER PENETRATION/EXT MASONRY/PARAPETS,Design,Complete,9/17/2013,2/21/2014,2/27/2014,359940,494057,"$456,146.00 ","DSF: 0000622598, 0000709411, 0000727828"
9,X073,P.S. 73,SCA CIP,WATER PENETRATION/EXT MASONRY/PARAPETS,Construction,In-Progress,8/11/2014,8/9/2016,,6748875,6348888,"$4,252,164.00 ","DSF: 0000622598, 0000709411, 0000727828"
9,X073,P.S. 73,SCA CIP,WATER PENETRATION/EXT MASONRY/PARAPETS,"CM, F&E",In-Progress,8/11/2014,8/9/2016,,419930,467646,"$466,192.00 ","DSF: 0000622598, 0000709411, 0000727828"
9,X073,P.S. 73 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS 555 AND 259,Construction,In-Progress,5/28/2015,DOES,,DOES,66208,"$66,208.00 ",DSF: 0000794842
9,X082,I.S. 232 (OLD 82) @X082,SCA CIP,FENCING/PAVED AREAS - CONCRETE,Scope,Complete,6/27/2007,9/12/2007,9/25/2007,21244,23387,"$23,387.00 ","DSF: 0000423946, 0000423947"
9,X082,I.S. 232 (OLD 82) @X082,SCA CIP,FENCING/PAVED AREAS - CONCRETE,Design,Complete,10/2/2007,1/28/2008,3/14/2008,60190,48454,"$48,454.00 ","DSF: 0000423946, 0000423947"
9,X082,I.S. 232 (OLD 82) @X082,SCA CIP,FENCING/PAVED AREAS - CONCRETE,Construction,PNS,PNS,PNS,PNS,810785,810785,"$732,504.00 ","DSF: 0000423946, 0000423947"
9,X082,I.S. 232 (OLD 82) @X082,SCA CIP,FENCING/PAVED AREAS - CONCRETE,"CM, F&E",PNS,PNS,PNS,PNS,155784,155784,"$7,192.00 ","DSF: 0000423946, 0000423947"
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Scope,Complete,7/30/2014,12/1/2014,2/20/2015,120938,97343,"$97,343.00 ","DSF: 0000030993, 0000818199, 0000821948, 0000821949"
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Design,In-Progress,4/24/2015,10/9/2015,,459998,459998,"$175,352.00 ","DSF: 0000030993, 0000818199, 0000821948, 0000821949"
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,Construction,PNS,PNS,PNS,PNS,8320373,8320373,"$37,324.00 ","DSF: 0000030993, 0000818199, 0000821948, 0000821949"
9,X082,I.S. 232 - BRONX,SCA CIP,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,"CM, F&E",PNS,PNS,PNS,PNS,618679,618679,"$15,276.00 ","DSF: 0000030993, 0000818199, 0000821948, 0000821949"
9,X082,I.S. 232 - BRONX,DOE - Skilled Trades,BATHROOM UPGRADE ROOMS 355 AND 354,Construction,In-Progress,8/5/2014,DOES,,DOES,65267,"$65,267.00 ",DSF: 0000795013
9,X088,P.S. 88 - BRONX,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIX,164632,$0.00 ,DSF: 0000776290
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,6/27/2013,11/25/2013,1/7/2014,9789,15648,"$15,648.00 ",DSF: 0000776084
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,1/8/2014,5/15/2014,4/16/2014,29367,24319,"$20,975.00 ",DSF: 0000776084
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,6/23/2014,4/18/2015,,373614,396445,"$255,793.00 ",DSF: 0000776084
9,X090,THE FAMILY SCHOOL - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,6/23/2014,4/18/2015,,183427,135756,"$99,115.00 ",DSF: 0000776084
9,X090,THE FAMILY SCHOOL - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,2/24/2015,2/24/2015,2/24/2015,29670,58,$58.00 ,DSF: 0000795167
9,X090,THE FAMILY SCHOOL - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,2/24/2015,6/24/2015,7/22/2015,84065,5957,"$5,957.00 ",DSF: 0000795167
9,X090,THE FAMILY SCHOOL - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,In-Progress,12/2/2015,8/27/2016,,1132405,1055115,"$26,225.00 ",DSF: 0000795167
1,M015,P.S. 15 - MANHATTAN,SCA CIP,FIRE ALARM,Scope,Complete,7/24/2013,10/23/2013,11/12/2013,16980,19165,"$19,165.00 ",DSF: 0000739189
1,M015,P.S. 15 - MANHATTAN,SCA CIP,FIRE ALARM,Design,Complete,11/20/2013,5/27/2014,4/11/2014,67920,107963,"$107,963.00 ",DSF: 0000739189
1,M015,P.S. 15 - MANHATTAN,SCA CIP,FIRE ALARM,Construction,Complete,8/11/2014,8/10/2015,7/23/2015,1273500,1219469,"$1,129,734.00 ",DSF: 0000739189
1,M015,P.S. 15 - MANHATTAN,SCA CIP,FIRE ALARM,"CM, F&E",Complete,8/11/2014,8/10/2015,7/23/2015,79240,170877,"$170,877.00 ",DSF: 0000739189
1,M015,P.S. 15 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,10/30/2014,10/30/2014,10/30/2014,19140,2111,"$2,111.00 ",DSF: 0000798364
1,M015,P.S. 15 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,10/30/2014,3/2/2015,1/7/2015,54230,8442,"$8,442.00 ",DSF: 0000798364
1,M015,P.S. 15 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,3/16/2015,12/10/2015,9/20/2015,730510,708758,"$517,529.00 ",DSF: 0000798364
1,M015,P.S. 15 - MANHATTAN,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,3/16/2015,12/10/2015,9/20/2015,140360,46524,"$46,524.00 ",DSF: 0000798364
1,M015,P.S. 15 - MANHATTAN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEMS,Purch & Install,Complete,6/24/2013,12/31/2013,10/28/2015,DIIX,208006,"$208,006.00 ",DSF: 0000776251
1,M015,P.S. 015 ROBERTO CLEMENTE,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,8/3/2015,8/25/2015,12/9/2015,35000,34649,"$34,649.00 ",DSF: 0000800664
1,M015,P.S. 15 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/11/2015,4/23/2015,4/23/2015,DOEL,50246,"$50,246.00 ",DSF:
1,M015,P.S. 15 - MANHATTAN,Trust For Public Lan,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,1/1/2014,3/31/2015,3/1/2015,50000,50000,"$50,000.00 ",DSF: 0000800355
